train_regime,model,accuracy,precision,recall,f1,roc_auc,brier_score,log_loss,n_train
Real Only,Logistic Regression,0.9833333333333333,1.0,0.9733333333333334,0.9864864864864865,1.0,0.013751364554411933,0.05165583718873983,280
Real Only,Random Forest,1.0,1.0,1.0,1.0,1.0,0.004204166666666667,0.026890408100099017,280
Real Only,XGBoost,0.9916666666666667,0.9868421052631579,1.0,0.9933774834437086,1.0,0.003991791152297259,0.01918938973683706,280
Real + Synthetic,Logistic Regression,0.9833333333333333,1.0,0.9733333333333334,0.9864864864864865,1.0,0.007569809146272421,0.02821161686887841,1120
Real + Synthetic,Random Forest,1.0,1.0,1.0,1.0,1.0,0.0019825,0.013974511576542215,1120
Real + Synthetic,XGBoost,1.0,1.0,1.0,1.0,1.0,0.00012733264330495024,0.004247127705340301,1120
