model,variant,synth_backend,cv_folds,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
lr,3x,gcopula,5.0,0.993469387755102,0.005986394557823104,1.0,0.0,0.9314285714285713,0.022857142857142864,0.9643534246923948,0.012135919917862982
rf,3x,gcopula,5.0,0.9964625850340136,0.0035058772045510234,0.9615027765492161,0.026796656882246982,0.9714285714285713,0.01807015805810503,0.9660216290796196,0.01112033642207879
xgb,3x,gcopula,5.0,0.9964625850340136,0.0043537414965986575,0.972781954887218,0.034040808463522816,0.9771428571428572,0.021380899352993955,0.9745551490399615,0.02067392533792521
