model,variant,cv_folds,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
lr,baseline,5.0,0.9915646258503402,0.007951912487729225,1.0,0.0,0.9314285714285713,0.022857142857142864,0.9643534246923948,0.012135919917862982
rf,baseline,5.0,0.9964625850340136,0.0035058772045510234,0.9616708437761069,0.027186694890786588,0.9885714285714287,0.022857142857142864,0.9747184476723355,0.020761216572652404
xgb,baseline,5.0,0.993061224489796,0.007407160592553017,0.9612082670906201,0.027210636025717765,0.96,0.022857142857142864,0.9600596760443307,0.010272755643322962
