model,variant,synth_backend,cv_folds,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
lr,1x,gcopula,5.0,0.9931972789115646,0.007147714577721749,1.0,0.0,0.9314285714285713,0.022857142857142864,0.9643534246923948,0.012135919917862982
rf,1x,gcopula,5.0,0.9970068027210883,0.0036910639363947014,0.9670676691729323,0.031278195488721815,0.9828571428571429,0.022857142857142864,0.974637964774951,0.02260239238641635
xgb,1x,gcopula,5.0,0.9951020408163267,0.004353741496598654,0.9557978279030911,0.02744355688811204,0.9714285714285715,0.025555062599997604,0.963208226927577,0.019285874990312875
