Model,Scenario,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
LR,"Real + Synthetic (fold-local gcopula, 3x)",0.9535714285714286,0.015971914124998498,0.9942857142857143,0.012777531299998802,0.9314285714285715,0.03257644071711824,0.9614445724015523,0.014069655302465085,0.993469387755102,0.006337858339511381
LR,Real Only,0.9535714285714286,0.015971914124998498,0.9942857142857143,0.012777531299998802,0.9314285714285715,0.03257644071711824,0.9614445724015523,0.014069655302465085,0.9912925170068027,0.008083510627217926
RF,"Real + Synthetic (fold-local gcopula, 3x)",0.9642857142857142,0.021870444131992628,0.9715873015873016,0.02020616840528098,0.9714285714285715,0.02020305089104422,0.9714274050097688,0.017495760254274923,0.9945578231292517,0.010669651116570117
RF,Real Only,0.9607142857142857,0.04072055089639776,0.9764502164502165,0.025163396616920068,0.96,0.04333071682315173,0.9680258190232613,0.03360215339516382,0.9951020408163265,0.008743547762209324
XGB,"Real + Synthetic (fold-local gcopula, 3x)",0.9678571428571429,0.042633344236833265,0.9767676767676768,0.025087846882868248,0.9714285714285715,0.04948716593053937,0.9738205876349315,0.035232958838122,0.9945578231292517,0.009277674623799907
XGB,Real Only,0.9535714285714285,0.043005694924258174,0.9651803751803751,0.024820862246410554,0.96,0.04780914437337576,0.9623931826251628,0.0353345070518551,0.9915646258503401,0.011600584352267804
